,artist,title,year,†artist,*artist
N05971,James Abbott McNeill Whistler,Three Figures: Pink and Grey,1860,1903,1834
T13558,Henry Thomson,The Raising of Jairus’ Daughter,1800,1843,1773
N01578,Anna Lea Merritt,Love Locked Out,1870,1930,1844
N01613,Henry Scott Tuke,August Blue,1880,1929,1858
T07403,Ellsworth Kelly,Yellow Curve,1950,2015,1923
N04445,Joseph Mallord William Turner,Seascape with Storm Coming On,1800,1851,1775
N02440,Dante Gabriel Rossetti,Sancta Lilias,1850,1882,1828
T00025,Manner of Angelica Kauffman,Hector Taking Leave of Andromache,1760,1807,1741
T03548,Walter Richard Sickert,La Hollandaise,1890,1942,1860
N01611,Francis Davis Millet,Between Two Fires,1870,1912,1846
T03864,Asger Jorn,Letter to my Son,1930,1973,1914
T00212,Karel Appel,Amorous Dance,1950,2006,1921
TW0352,Joseph Mallord William Turner,"The Eruption of the Souffrier Mountains, in the Island of St Vincent, at Midnight, on the 30th of April, 1812, from a Sketch Taken at the Time by Hugh P. Keane, Esqre",1800,1851,1775
N02655,John Constable,"Maria Bicknell, Mrs John Constable",1800,1837,1776
T01287,Derek Boshier,The Identi-Kit Man,1940,1937,1937
T00707,Eileen Agar,Three Symbols,1930,1991,1899
N05953,Karl Schmidt-Rottluff,Woman with a Bag,1910,1976,1884
T03105,Lucian Freud,Two Plants,1950,2011,1922
N01616,The Hon. John Collier,The Last Voyage of Henry Hudson,1880,1934,1850
T01070,Gino Severini,Suburban Train Arriving in Paris,1910,1966,1883
T03693,Peter Lanyon,Wreck,1930,1964,1918
N01992,Joseph Mallord William Turner,The Thames above Waterloo Bridge,1800,1851,1775
T01076,Pierre Bonnard,Nude Bending Down,1890,1947,1867
N01544,Stanhope Alexander Forbes,The Health of the Bride,1890,1947,1857
T03853,Edward Collier,"A Trompe l’Oeil of Newspapers, Letters and Writing Implements on a Wooden Board",1680,1708,1662
T00525,Sir Stanley Spencer,Swan Upping at Cookham,1910,1959,1891
T03256,Hans Hofmann,Pompeii,1910,1966,1880
N05477,Joseph Mallord William Turner,Seascape with Buoy,1800,1851,1775
T11810,Judith Rothschild,Untitled Composition,1940,1993,1921
T00324,Man Ray,Pisces,1920,1976,1890
N04824,Armand Guillaumin,Moret-sur-Loing,1870,1927,1841
N00887,Sir Joshua Reynolds,Doctor Samuel Johnson,1750,1792,1723
N04538,Norbert Goeneutte,The Boulevard de Clichy under Snow,1870,1894,1854
N01528,Henry William Banks Davis,Mother and Son,1860,1914,1833
N05386,"Unknown artist, Britain",A Black Model,0,-1,-1
T05804,Francis Picabia,Portrait of a Doctor,1900,1953,1879
N00358,William Etty,"Candaules, King of Lydia, Shews his Wife by Stealth to Gyges, One of his Ministers, as She Goes to Bed",1810,1849,1787
T00713,Hans Bellmer,Peg-Top,1930,1975,1902
T07469,Simon Du Bois,"Portrait of a Gentleman, probably Arthur Parsons MD",1660,1708,1632
N01249,William Dobson,Endymion Porter,1620,1646,1611
N03597,William Lindsay Windus,Too Late,1850,1907,1822
N05779,William Maw Egley,Omnibus Life in London,1860,1916,1826
T00867,Jean Dubuffet,The Busy Life,1930,1985,1901
T13936,Frank Bowling,Mirror,1930,1934,1934
T01541,Patrick Heron,Horizontal Stripe Painting : November 1957 - January 1958,1950,1999,1920
N00489,Joseph Mallord William Turner,The Fall of an Avalanche in the Grisons,1800,1851,1775
T00245,Maria Helena Vieira da Silva,Paris,1940,1992,1908
T07104,John Singer Sargent,Portrait of Ena Wertheimer: A Vele Gonfie,1880,1925,1856
T03081,Barnett Newman,Eve,1930,1970,1905
T00132,John Michael Wright,Sir Neil O’Neill,1640,1694,1617
N00535,Joseph Mallord William Turner,The Sun of Venice Going to Sea,1800,1851,1775
N00483,Joseph Mallord William Turner,London from Greenwich Park,1800,1851,1775
N01573,Philip Hermogenes Calderon,St Elizabeth of Hungary’s Great Act of Renunciation,1850,1898,1833
N02882,Joseph Mallord William Turner,Waves Breaking on a Lee Shore at Margate (Study for ‘Rockets and Blue Lights’),1800,1851,1775
N03295,Edouard Manet,Woman with a Cat,1850,1883,1832
T13308,Saloua Raouda Choucair,Composition in Blue Module,1950,2017,1916
T03672,Georg Baselitz,Adieu,1940,1938,1938
N00512,Joseph Mallord William Turner,Caligula’s Palace and Bridge,1800,1851,1775
T07693,John Singer Sargent,Portrait of Mrs Robert Harrison,1880,1925,1856
T00782,Alberto Giacometti,Caroline,1920,1966,1901
N04429,Ford Madox Brown,"‘Take your Son, Sir’",1840,1893,1821
T00604,Francis Bacon,Study for Portrait on Folding Bed,1940,1992,1909
T07312,Jonathan Leaman,A Jan Steen Kitchen,1950,1954,1954
N05640,Sir Joshua Reynolds,Lady Talbot,1750,1792,1723
T03118,Fernand Léger,The Acrobat and his Partner,1910,1955,1881
N04847,James Tissot,The Gallery of HMS Calcutta (Portsmouth),1860,1902,1836
N01236,John Constable,"Hampstead Heath, with the House Called ‘The Salt Box’",1800,1837,1776
T06612,Mary Beale,Portrait of a Young Girl,1650,1699,1633
T07040,Julian Trevelyan,The Potteries,1940,1988,1910
N01601,Sir William Quiller Orchardson,Napoleon on Board the Bellerophon,1860,1910,1832
N03566,Augustus John OM,Colonel T.E. Lawrence,1910,1961,1878
T01588,Richard Smith,Painting,1960,2016,1931
N01482,Thomas Gainsborough,The Artist’s Daughter Margaret,1750,1788,1727
TW1328,Joseph Mallord William Turner,Rockets and Blue Lights (Close at Hand) to Warn Steam Boats of Shoal Water,1800,1851,1775
T07835,Maggi Hambling,"Father, Late December 1997",1940,1945,1945
T07705,André Fougeron,Return from the Market,1940,1998,1913
N00126,Benjamin West,Pylades and Orestes Brought as Victims before Iphigenia,1770,1820,1738
N01609,William Frederick Yeames,Amy Robsart,1860,1918,1835
N00463,Joseph Mallord William Turner,"Aeneas and the Sibyl, Lake Avernus",1800,1851,1775
T03564,Raoul Dufy,The Wheatfield,1900,1953,1877
T00618,William Dyce,Madonna and Child,1830,1864,1806
T15021,Yamashita Kikuji,Deification of a Soldier,1940,1986,1919
T06734,Sir William Beechey,Portrait of Sir Francis Ford’s Children Giving a Coin to a Beggar Boy,1780,1839,1753
T07110,Jean Dubuffet,The Tree of Fluids,1930,1985,1901
N01641,George Frederic Watts,Love and Life,1850,1904,1817
T04887,John Minton,Children by the Sea,1930,1957,1917
T00058,Sir Peter Lely,Two Ladies of the Lake Family,1640,1680,1618
N03174,Gwen John,A Lady Reading,1900,1939,1876
L03741,Norman Lewis,Cathedral,1930,1979,1909
N01244,John Constable,"Gillingham Bridge, Dorset",1800,1837,1776
T03614,Abraham Solomon,Waiting for the Verdict,1840,1862,1824
T02039,Walter Richard Sickert,Minnie Cunningham at the Old Bedford,1890,1942,1860
N05908,Alberto Giacometti,Interior,1920,1966,1901
N04816,Stanislawa De Karlowska,Berkeley Square,1900,1952,1876
N05078,Vanessa Bell,Interior with a Table,1910,1961,1879
N04658,Joseph Mallord William Turner,Stormy Sea with Blazing Wreck,1800,1851,1775
N04634,Frederic George Stephens,Mother and Child,1850,1907,1827
N06008,Philip Wilson Steer,"Girls Running, Walberswick Pier",1890,1942,1860
T11861,Glyn Warren Philpot,Repose on the Flight into Egypt,1900,1937,1884
N04892,James Tissot,The Ball on Shipboard,1860,1902,1836
T04147,Mark Rothko,Untitled,1930,1970,1903
N03338,John Roddam Spencer Stanhope,Thoughts of the Past,1860,1908,1829
N01577,Briton Riviere,Beyond Man’s Footsteps,1870,1920,1840
N02898,Alphonse Legros,Le Repas des Pauvres,1860,1911,1837
N04544,Sir John Lavery,The Chess Players,1880,1941,1856
N01988,Joseph Mallord William Turner,"Interior of a Great House: The Drawing Room, East Cowes Castle",1800,1851,1775
T00306,Henri Matisse,Draped Nude,1900,1954,1869
T06640,William Dobson,Portrait of the Artist’s Wife,1620,1646,1611
T00755,Sir Peter Lely,Portrait of an Unknown Woman,1640,1680,1618
N05487,Joseph Mallord William Turner,Venice with the Salute,1800,1851,1775
N00527,Joseph Mallord William Turner,"Venice, the Bridge of Sighs",1800,1851,1775
T06467,Peter Lanyon,Lost Mine,1930,1964,1918
T02020,David Des Granges,The Saltonstall Family,570,1675,13
N00513,Joseph Mallord William Turner,Vision of Medea,1800,1851,1775
T07694,Sir William Orpen,Zonnebeke,1900,1931,1878
N00682,Benjamin Robert Haydon,Punch or May Day,1810,1846,1786
N00432,Edward Matthew Ward,"The South Sea Bubble, a Scene in ‘Change Alley in 1720",1840,1879,1816
N02650,John Constable,Yarmouth Jetty,1800,1837,1776
N05392,Paul Nash,Pillar and Moon,1910,1946,1889
T00465,Henri de Toulouse-Lautrec,Emile Bernard,1880,1901,1864
N05270,Charles Ginner,Snow in Pimlico,1900,1952,1878
T03096,Charles Ginner,Piccadilly Circus,1900,1952,1878
N00327,John Constable,The Valley Farm,1800,1837,1776
N01560,Thomas Benjamin Kennington,Orphans,1880,1916,1856
T00468,Natalia Goncharova,Gardening,1910,1962,1881
N00142,Sir Thomas Lawrence,John Philip Kemble as Hamlet,1790,1830,1769
N01814,John Constable,Salisbury Cathedral from the Meadows,1800,1837,1776
N04500,Joseph Van Aken,An English Family at Tea,1720,1749,1699
N03189,Sir William Rothenstein,The Doll’s House,1900,1945,1872
T07075,David Hockney,Tea Painting in an Illusionistic Style,1940,1937,1937
T12612,Pierre Bonnard,The Yellow Boat,1890,1947,1867
T00211,George Lambert,Classical Landscape,1720,1765,1700
T04105,James Collinson,Home Again,1840,1881,1825
T06782,Henry Gibbs,Aeneas and his Family Fleeing Burning Troy,1660,1713,1631
L01713,John Singer Sargent,Portrait of Mrs Leopold Hirsch,1880,1925,1856
T00813,William Roberts,The Cinema,1920,1980,1895
N04817,Dod Procter,Kitchen at Myrtle Cottage,1920,1972,1892
N05141,Henri Matisse,The Inattentive Reader,1900,1954,1869
T11896,Dora Carrington,Spanish Landscape with Mountains,1910,1932,1893
T03294,Max Beckmann,Carnival,1910,1950,1884
N05066,John Singer Sargent,W. Graham Robertson,1880,1925,1856
N03343,Sir Joshua Reynolds,Lady Bampfylde,1750,1792,1723
T07291,Maria Lalic,History Painting 35 C18/19th. Cadmium Yellow,1950,1952,1952
T05747,Theodor von Holst,Fantasy Based on Goethe’s ‘Faust’,1820,1844,1810
N05261,Philip Wilson Steer,Seated Nude: The Black Hat,1890,1942,1860
N05574,Camille Pissarro,Portrait of Felix Pissarro,1850,1903,1830
T00519,William Williams,Thunderstorm with the Death of Amelia,1770,1797,1758
T03418,Euan Uglow,Zagi,1950,2000,1932
N05343,Algernon Newton,"The Surrey Canal, Camberwell",1910,1968,1880
T03231,"Sir Cedric Morris, Bt",Lucian Freud,1920,1982,1889
N00548,Joseph Mallord William Turner,Queen Mab’s Cave,1800,1851,1775
T00050,Ben Nicholson OM,June 1937 (painting),1920,1982,1894
T07328,Piet Mondrian,"Sun, Church in Zeeland; Zoutelande Church Facade",1900,1944,1872
T14922,Marlene Dumas,Lord Alfred Douglas (Bosie),1950,1953,1953
T00591,L.S. Lowry,Hillside in Wales,1920,1976,1887
T04923,André Derain,The Painter and his Family,1900,1954,1880
T12539,Francis Bacon,Figures in a Garden,1940,1992,1909
N02064,Joseph Mallord William Turner,"The Chain Pier, Brighton",1800,1851,1775
N04249,Alfred Sisley,The Bridge at Sèvres,1860,1899,1839
N05267,Sir William Nicholson,Mushrooms,1900,1949,1872
T07863,Johan Zoffany,"Three Sons of John, 3rd Earl of Bute",1760,1810,1733
N06073,Wifredo Lam,Ibaye,1930,1982,1902
T00252,Philip Guston,The Return,1940,1980,1913
T00070,Sir Peter Lely,"Elizabeth, Countess of Kildare",1640,1680,1618
T04942,Craigie Aitchison,Crucifixion 9,1950,2009,1926
T05524,Odilon Redon,Profile of a Woman with a Vase of Flowers,1870,1916,1840
N05975,Victor Pasmore,Reclining Nude,1940,1998,1908
N01625,John Melhuish Strudwick,A Golden Thread,1880,1935,1849
T14037,George Elgar Hicks,Woman’s Mission: Comfort of Old Age,1850,1914,1824
T00140,John Minton,Composition: The Death of James Dean,1930,1957,1917
T01232,Matta (Roberto Matta Echaurren),Black Virtue,1940,2002,1911
N05961,Sir Stanley Spencer,The Resurrection: Port Glasgow,1910,1959,1891
T00528,William Roberts,"The Vorticists at the Restaurant de la Tour Eiffel: Spring, 1915",1920,1980,1895
N01046,William Hogarth,Sigismunda Mourning over the Heart of Guiscardo,1720,1764,1697
N05744,Gwen John,Young Woman Holding a Black Cat,1900,1939,1876
N01587,Sir Frank Dicksee,Harmony,1880,1928,1853
T01127,Norman Adams,Rainbow Painting (I),1950,2005,1927
N04117,Sir Stanley Spencer,Christ Carrying the Cross,1910,1959,1891
N01271,"Thomas Gainsborough, formerly attributed to Gainsborough Dupont",Marie Jean Augustin Vestris,1750,1788,1727
T00422,Lucian Freud,Man with a Thistle (Self-Portrait),1950,2011,1922
T01074,Paul Cézanne,The Avenue at the Jas de Bouffan,1860,1906,1839
T03666,Sir George Clausen,Winter Work,1880,1944,1852
T07400,John Ward,The Newspaper Boys,1950,2007,1917
TW1813,Joseph Mallord William Turner,"The Devil’s Bridge, St Gothard",1800,1851,1775
T14302,Yves Tanguy,A Thousand Times,1920,1955,1900
N06206,Francis Hayman,The Wrestling Scene from ‘As You Like It’,1730,1776,1708
T01133,Vanessa Bell,Still Life on Corner of a Mantelpiece,1910,1961,1879
T03569,Amedeo Modigliani,Madame Zborowska,1900,1920,1884
T00866,Antonio Saura,Imaginary Portrait of Goya,1950,1998,1930
N01274,John Constable,The Glebe Farm,1800,1837,1776
T06886,William Chase,The Keynote,1900,1944,1878
N06190,Graham Sutherland OM,Entrance to a Lane,1930,1980,1903
AR00344,Gerhard Richter,Brigid Polk (305),1930,1932,1932
N04505,Sir Joshua Reynolds,Self-Portrait as a Deaf Man,1750,1792,1723
T02410,Albert Gleizes,Portrait of Jacques Nayral,1900,1953,1881
N00310,Thomas Gainsborough,Sunset: Carthorses Drinking at a Stream,1750,1788,1727
TW0867,Joseph Mallord William Turner,Walton Bridges,1800,1851,1775
N03474,Daniel Mytens the Elder,"Portrait of James Hamilton, Earl of Arran, Later 3rd Marquis and 1st Duke of Hamilton, Aged 17",1610,1647,1590
N04924,Henri Matisse,Reading Woman with Parasol,1900,1954,1869
T00495,Christopher Richard Wynne Nevinson,A Star Shell,1910,1946,1889
N06224,Le Corbusier (Charles-Edouard Jeanneret),Bull III,1910,1965,1887
T03064,Albert Moore,A Garden,1860,1893,1841
N05047,Paul Nash,Landscape at Iden,1910,1946,1889
N05304,Henry Fuseli,Percival Delivering Belisane from the Enchantment of Urma,1770,1825,1741
T03334,Hermann Nitsch,Poured Painting,1940,1938,1938
T12614,Balthus (Balthasar Klossowski de Rola),Nude on a Chaise Longue,1940,2001,1908
T03230,"Sir Cedric Morris, Bt",Iris Seedlings,1920,1982,1889
T07278,Edward Francis Burney,Amateurs of Tye-Wig Music (‘Musicians of the Old School’),1790,1848,1760
T00708,Wilhelmina Barns-Graham,"Glacier Crystal, Grindelwald",1940,2004,1912
T12889,Hurvin Anderson,Jersey,1960,1965,1965
T12610,Johan Zoffany,Colonel Blair with his Family and an Indian Ayah,1760,1810,1733
N01632,George Frederic Watts,‘For he had great possessions’,1850,1904,1817
N05256,Philip Wilson Steer,The Bridge,1890,1942,1860
N06249,Karl Schmidt-Rottluff,Two Women,1910,1976,1884
N04742,George Mason,The Harvest Moon,1840,1872,1818
N00474,Joseph Mallord William Turner,The Destruction of Sodom,1800,1851,1775
T14242,Wilhelm Sasnal,Gaddafi 3,1970,1972,1972
N01167,John Opie,Mary Wollstonecraft (Mrs William Godwin),1780,1807,1761
N01621,William Logsdail,St Martin-in-the-Fields,1890,1944,1859
T05486,Oskar Kokoschka,Loreley,1920,1980,1886
T07731,Cecil Collins,The Fall Of Lucifer,1930,1989,1908
T02058,George Stubbs,Horse Devoured by a Lion,1750,1806,1724
N05269,Amedeo Modigliani,The Little Peasant,1900,1920,1884
N05910,Gwen John,Dorelia in a Black Dress,1900,1939,1876
N04662,Joseph Mallord William Turner,Yacht Approaching the Coast,1800,1851,1775
N02001,Joseph Mallord William Turner,"Study of Sea and Sky, Isle of Wight",1800,1851,1775
N04660,Joseph Mallord William Turner,"The Disembarkation of Louis-Philippe at the Royal Clarence Yard, Gosport, 8 October 1844",1800,1851,1775
TW1063,Joseph Mallord William Turner,"The Burning of the Houses of Lords and Commons, October 16, 1834",1800,1851,1775
N05515,Joseph Mallord William Turner,Seascape,1800,1851,1775
T02375,George Stubbs,"Otho, with John Larkin up",1750,1806,1724
N04727,Henri Rousseau (`Le Douanier’),Bouquet of Flowers,1870,1910,1844
N05317,Harold Gilman,Mrs Mounter at the Breakfast Table,1890,1919,1876
L02305,Canaletto (Giovanni Antonio Canal),London: The Old Horse Guards from St James’s Park,1720,1768,1697
T03031,"Unknown artist, Britain","Portrait of a Lady, Called Elizabeth, Lady Tanfield",0,-1,-1
N04592,Camille Pissarro,Self-Portrait,1850,1903,1830
N01483,Thomas Gainsborough,Tristram and Fox,1750,1788,1727
N04485,Sir George Clausen,A Frosty March Morning,1880,1944,1852
N02063,Ford Madox Brown,Chaucer at the Court of Edward III,1840,1893,1821
T03615,Abraham Solomon,Not Guilty (The Acquittal),1840,1862,1824
T03683,Atkinson Grimshaw,"Bowder Stone, Borrowdale",1850,1893,1836
N05575,Camille Pissarro,The Little Country Maid,1850,1903,1830
T07552,Paul Nash,Flight of the Magnolia,1910,1946,1889
N05646,André Masson,Ibdes in Aragon,1930,1987,1896
N06242,Thomas Gainsborough,Gainsborough Dupont,1750,1788,1727
N06134,Francis Danby,The Deluge,1820,1861,1793
N01693,George Frederic Watts,"Time, Death and Judgement",1850,1904,1817
T14804,Luc Tuymans,Issei Sagawa,1960,1958,1958
TW0955,Joseph Mallord William Turner,The Wreck of a Transport Ship,1800,1851,1775
T03845,Francis Picabia,The Fig-Leaf,1900,1953,1879
T04877,Albert Moore,A Sleeping Girl,1860,1893,1841
N05437,Wyndham Lewis,Edith Sitwell,1910,1957,1882
N05780,Philip Hermogenes Calderon,Broken Vows,1850,1898,1833
T00123,Jean-Paul Riopelle,Perspectives,1950,2002,1923
T01501,Sir Terry Frost,"Green, Black and White Movement",1940,2003,1915
T02139,Sir Anthony Van Dyck,A Lady of the Spencer Family,1610,1641,1599
T03885,Joseph Mallord William Turner,Chichester Canal,1800,1851,1775
T01498,Clyfford Still,1953,1930,1980,1904
T00404,Serge Poliakoff,Abstract Composition,1930,1969,1906
N01672,Ralph Peacock,Ethel,1890,1946,1868
T12921,Joan Mitchell,Chord II,1950,1992,1925
T07229,Mary Adshead,The Cruise,1930,1995,1904
N05768,Wyndham Lewis,The Surrender of Barcelona,1910,1957,1882
N03201,James Collinson,The Empty Purse (replica of ‘For Sale’),1840,1881,1825
T07799,Christopher Wood,A Fishing Boat in Dieppe Harbour,1910,1930,1901
T14206,Maria Helena Vieira da Silva,The Tiled Room,1940,1992,1908
N00539,Joseph Mallord William Turner,Venice - Maria della Salute,1800,1851,1775
N01226,Sir Edwin Henry Landseer,A Distinguished Member of the Humane Society,1830,1873,1802
T00180,Francis Gruber,Job,1920,1948,1912
TW1298,Joseph Mallord William Turner,Neapolitan Fisher Girls Surprised Bathing by Moonlight,1800,1851,1775
N00551,Joseph Mallord William Turner,The Hero of a Hundred Fights,1800,1851,1775
T03053,"Frederic, Lord Leighton",Lieder ohne Worte,1850,1896,1830
T12959,Sandra Gamarra,Page 70,1970,1972,1972
N01235,John Constable,East Bergholt House,1800,1837,1776
T01197,David Bomberg,Vision of Ezekiel,1910,1957,1890
N05943,Raoul Dufy,"Deauville, Drying the Sails",1900,1953,1877
N04877,Algernon Talmage,The Founding of Australia 1788,1890,1939,1871
T04847,Hans Hofmann,Nulli Secundus,1910,1966,1880
T00315,Chaïm Soutine,The Road up the Hill,1910,1943,1893
T01193,Samuel Scott,An Arch of Westminster Bridge,1730,1772,1702
T03660,Patrick Heron,"Cadmium with Violet, Scarlet, Emerald, Lemon and Venetian : 1969",1950,1999,1920
T04138,Sean Scully,Paul,1940,1945,1945
T03190,Kenneth Martin,"Chance, Order, Change 6 (Black)",1930,1984,1905
T03613,William Hogarth,The Dance (The Happy Marriage ?VI: The Country Dance),1720,1764,1697
N04916,Solomon J. Solomon,A Family Group: The Artist’s Wife and Children: ‘Papa Painting!’,1880,1927,1860
